acct_nbr,cust_id,acct_type,account_active,acct_start_date,starting_balance,ending_balance
000000001362974217,23170558,CK,Y,1995-06-30,402.020,2955.943
000000001362830322,29982260,SV,Y,1992-01-14,261.668,324.688
456114321362820419,25893580,CC,Y,1992-11-30,18050.625,13117.929
456114321362584411,14988424,CC,Y,1995-09-13,0.000,4900.000
000000001362492223,31337316,CK,Y,1995-04-23,5112.600,672.820
000000001363214215,20448210,CK,Y,1991-04-19,11459.556,687.888
000000001363485321,28633185,SV,Y,1995-11-13,176.400,116.760
456114321362925417,23169725,CC,Y,1993-04-20,283.680,1866.293
000000001362708318,24528744,SV,Y,1991-05-13,5035.850,3908.120
456114321363081414,19083134,CC,N,1989-01-17,2369.794,346.819
456114321363222419,25901218,CC,Y,1992-01-21,483.300,3100.000
000000001363458211,14998038,CK,Y,1992-06-14,542.279,10.045
456114321363158422,29989476,CC,Y,1991-09-15,400.664,1107.197
000000001363465319,25905835,SV,Y,1994-04-27,2580.660,1831.852
456114321363374419,25904106,CC,Y,1995-11-02,0.000,0.000
000000001363258211,14995838,CK,N,1994-12-15,324.083,59.486
456114321363257418,24538626,CC,Y,1995-02-12,29.000,2362.240
000000001363336317,23176712,SV,Y,1993-01-10,260.370,390.755
000000001363108321,28625268,SV,Y,1993-07-22,241.080,319.120
000000001363133220,27262660,CK,N,1989-10-20,18884.886,7586.492
000000001362970312,16355640,SV,Y,1995-07-08,328.728,583.947
456114321362832421,28619472,CC,Y,1995-11-18,21.000,8459.000
456114321362633416,21802128,CC,Y,1994-01-23,772.458,1020.000
000000001362557221,28613697,CK,Y,1995-09-08,2166.270,106.060
000000001362674213,17714762,CK,Y,1995-04-18,16166.159,836.584
000000001363249210,13632490,CK,Y,1993-06-04,1804.867,12947.040
000000001362902216,21806432,CK,Y,1990-11-11,364.963,132.940
000000001362480214,19074720,CK,Y,1992-12-23,464.590,356.126
000000001362888215,20443320,CK,Y,1995-01-04,9298.773,21113.388
000000001362664223,31341272,CK,Y,1991-10-04,4151.940,2773.650
456114321362933411,14992263,CC,Y,1990-02-02,1457.813,4405.492
000000001363302218,24539436,CK,Y,1993-04-14,5528.360,4110.580
000000001362537312,16350444,SV,Y,1990-03-25,145.716,3367.749
000000001363109216,21809744,CK,Y,1993-10-11,7063.598,61.350
456114321363335423,31356705,CC,Y,1994-07-12,145.180,896.940
000000001362725322,29979950,SV,Y,1995-01-30,19033.762,146469.050
000000001363008312,16356096,SV,Y,1992-12-29,10879.296,19617.864
000000001362926310,13629260,SV,Y,1990-11-03,249.318,5536.260
000000001362938222,29984636,CK,N,1994-11-19,2945.470,3802.799
000000001362742312,16352904,SV,Y,1992-09-19,147.984,1772.694
456114321363197421,28627137,CC,Y,1993-10-10,153.930,604.090
000000001363133314,19083862,SV,Y,1989-10-20,243.208,4437.635
000000001362711319,25891509,SV,Y,1992-03-12,1006.200,120.497
000000001363474223,31359902,CK,Y,1993-12-17,2692.980,120.890
000000001363470213,17725110,CK,Y,1989-06-11,24820.839,3992.525
456114321363266415,20448990,CC,Y,1995-02-24,0.000,5072.715
000000001362998217,23170966,CK,Y,1993-02-13,317.780,13.578
000000001363093216,21809488,CK,Y,1986-05-30,349.959,1099.160
000000001363101320,27262020,SV,Y,1995-12-09,40910.238,42710.618
000000001362661318,24527898,SV,Y,1995-11-02,847.480,2313.620
000000001362851214,19079914,CK,Y,1994-08-25,9883.888,2607.477
456114321363008410,13630080,CC,N,1988-08-25,3610.646,45.000
000000001362649214,19077086,CK,Y,1995-02-20,188.552,124.927
000000001362938216,21807008,CK,N,1994-11-19,8300.870,437.890
000000001363201223,31353623,CK,Y,1995-04-23,1205.440,867.160
000000001363334315,20450010,SV,Y,1995-01-28,700.110,2442.696
000000001362530214,19075420,CK,Y,1995-04-25,7443.058,70.930
000000001362520211,14987720,CK,Y,1995-02-06,1100.404,1632.239
000000001362708310,13627080,SV,Y,1991-05-13,9513.015,17195.040
000000001363390216,21814240,CK,Y,1995-12-15,8421.925,466.350
000000001363237314,19085318,SV,Y,1995-08-09,1043.686,3102.634
000000001362653221,28615713,CK,Y,1992-12-19,601.960,982.150
000000001362939312,16355268,SV,Y,1993-01-18,1964.628,2465.169
000000001363421321,28631841,SV,Y,1988-09-19,212.770,156.640
456114321363468422,29996296,CC,Y,1995-11-16,0.000,50050.000
000000001363307214,19086298,CK,Y,1993-12-25,3869.222,1288.507
000000001362887318,24531966,SV,N,1991-05-10,620.900,4349.930
000000001363306316,21812896,SV,Y,1995-05-28,2166.776,1213.260
000000001363450211,14997950,CK,Y,1995-07-03,425.182,1032.577
456114321363164421,28626444,CC,Y,1988-11-05,497.610,1159.000
000000001363201221,28627221,CK,Y,1995-04-23,1215.440,736.160
000000001363008211,14993088,CK,Y,1989-07-25,9337.626,113.484
000000001363011221,28623231,CK,Y,1990-02-04,12751.290,1574.180
456114321363207423,31353761,CC,Y,1994-02-09,897.670,867.000
000000001362829216,21805264,CK,Y,1993-08-20,1978.792,2536.200
000000001363134215,20447010,CK,Y,1990-02-18,440.316,0.000
456114321362607414,19076498,CC,Y,1994-01-23,2740.430,3703.776
456114321363076413,17719988,CC,Y,1993-09-03,41737.420,1718.349
